name,출전
上端,역지사지LV3
上端里,호구총수
上竹,호구총수
上竹川里,호구총수
上竹田里,호구총수
上竹谷里,호구총수
上第亦里,호구총수
上筆峰,호구총수
上等里,호구총수
上筏里,호구총수
上箕洞,호구총수
上箭幕,호구총수
上箭後里,호구총수
上米廛契,호구총수
上粉峙里,호구총수
上糠山里,호구총수
上納谷里,호구총수
上紫浦,호구총수
上細橋,호구총수
上細洞里,호구총수
上細浦里,호구총수
上細竹里,호구총수
上絲臥里,호구총수
上維谷里,호구총수
上綱勿谷坊,호구총수
上網障里,호구총수
上縣,역지사지LV3
上縣上里,호구총수
上縣下里,호구총수
上縣中坪里,호구총수
上縣中里,호구총수
上縣內,역지사지LV3
上縣內面,호구총수
上縣里,호구총수
上置等,역지사지LV3
上置等面,호구총수
上羅里,호구총수
上美里,호구총수
上群平里,호구총수
上老多村,호구총수
上老積里,호구총수
上者浦里,호구총수
上者里,호구총수
上耆洞,호구총수
上耆隱谷,호구총수
上耳巖里,호구총수
上聖,역지사지LV3
上聖淵,역지사지LV3
上職串里,호구총수
上肥村,호구총수
上胎封,호구총수
上興玉里,호구총수
上興里,호구총수
上舍巖,호구총수
上舟八里,호구총수
上船橋,호구총수
上芚浦,호구총수
上芝,역지사지LV3
上芝坪里,호구총수
上芝柯里,호구총수
上芮田里,호구총수
上花山里,호구총수
上花岑,호구총수
上花溪里,호구총수
上花里,호구총수
上芳木里,호구총수
上芳谷里,호구총수
上芼,역지사지LV3
上苔,역지사지LV3
上苔島,호구총수
上茂,역지사지LV3
上茂山,역지사지LV3
上茂社,호구총수
上茅村,호구총수
上茵山,호구총수
上茶山里,호구총수
上荀池,호구총수
上草坪,호구총수
上草川里,호구총수
上草浦里,호구총수
上草田里,호구총수
